MNIST-USPS seed:0 {'acc': 0.994, 'nmi': 0.9830838134832482, 'pur': 0.994}
Fashion seed:5 {'acc': 0.9925, 'nmi': 0.9807810663416452, 'pur': 0.9925}
Fashion seed:6 {'acc': 0.9918, 'nmi': 0.9788668692186677, 'pur': 0.9918}
Fashion seed:7 {'acc': 0.9928, 'nmi': 0.9815752186143432, 'pur': 0.9928}
Fashion seed:8 {'acc': 0.9928, 'nmi': 0.9814741263592235, 'pur': 0.9928}
Fashion seed:9 {'acc': 0.9925, 'nmi': 0.980848117435023, 'pur': 0.9925}
Fashion seed:10 {'acc': 0.992, 'nmi': 0.9796201303122487, 'pur': 0.992}
MNIST-USPS 0.01 0.01 {'acc': 0.9904, 'nmi': 0.9761856014525001, 'pur': 0.9904}
MNIST-USPS 0.01 0.1 {'acc': 0.99, 'nmi': 0.9740692004244564, 'pur': 0.99}
MNIST-USPS 0.01 1.0 {'acc': 0.8018, 'nmi': 0.8796378514985703, 'pur': 0.815}
MNIST-USPS 0.01 10 {'acc': 0.5242, 'nmi': 0.6376375003238329, 'pur': 0.5896}
MNIST-USPS 0.01 100 {'acc': 0.2976, 'nmi': 0.2977227709659529, 'pur': 0.3208}
MNIST-USPS 0.1 0.01 {'acc': 0.9954, 'nmi': 0.9870512071139086, 'pur': 0.9954}
MNIST-USPS 0.1 0.1 {'acc': 0.9952, 'nmi': 0.9861422377598241, 'pur': 0.9952}
MNIST-USPS 0.1 1.0 {'acc': 0.9954, 'nmi': 0.9874200517675512, 'pur': 0.9954}
MNIST-USPS 0.1 10 {'acc': 0.747, 'nmi': 0.8542500561657004, 'pur': 0.7934}
MNIST-USPS 0.1 100 {'acc': 0.5506, 'nmi': 0.6174295191911898, 'pur': 0.5992}
MNIST-USPS 1.0 0.01 {'acc': 0.9932, 'nmi': 0.9811808996476158, 'pur': 0.9932}
MNIST-USPS 1.0 0.1 {'acc': 0.993, 'nmi': 0.9799022203867868, 'pur': 0.993}
MNIST-USPS 1.0 1.0 {'acc': 0.9958, 'nmi': 0.9881927616019576, 'pur': 0.9958}
MNIST-USPS 1.0 10 {'acc': 0.9968, 'nmi': 0.9908189483766673, 'pur': 0.9968}
MNIST-USPS 1.0 100 {'acc': 0.8668, 'nmi': 0.9272034063040248, 'pur': 0.8918}
MNIST-USPS 10 0.01 {'acc': 0.9802, 'nmi': 0.9539755855581016, 'pur': 0.9802}
MNIST-USPS 10 0.1 {'acc': 0.9852, 'nmi': 0.9625504931722291, 'pur': 0.9852}
MNIST-USPS 10 1.0 {'acc': 0.9904, 'nmi': 0.9735634038131205, 'pur': 0.9904}
MNIST-USPS 10 10 {'acc': 0.9954, 'nmi': 0.986600676126247, 'pur': 0.9954}
MNIST-USPS 10 100 {'acc': 0.9962, 'nmi': 0.9890617620478657, 'pur': 0.9962}
MNIST-USPS 100 0.01 {'acc': 0.975, 'nmi': 0.9440568937712671, 'pur': 0.975}
MNIST-USPS 100 0.1 {'acc': 0.9798, 'nmi': 0.9506211914435093, 'pur': 0.9798}
MNIST-USPS 100 1.0 {'acc': 0.9822, 'nmi': 0.9567812384578804, 'pur': 0.9822}
