dataset,lambda1,lambda2,ACC,NMI,PUR
Caltech_3V,0.1,0.1,0.6328571428571429,0.5407478562191493,0.665
Caltech_3V,0.1,0.1,0.6471428571428571,0.571842400864703,0.6678571428571428
Caltech_3V,0.1,0.1,0.7421428571428571,0.6339778687651016,0.7421428571428571
Caltech_2V,0.1,0.1,0.5914285714285714,0.5320075161222161,0.6078571428571429
Caltech_2V,0.1,0.1,0.5971428571428572,0.4783268969600311,0.5971428571428572
MNIST_USPS,1.0,10.0,0.9962,0.9887907250105402,0.9962
MNIST_USPS,1.0,10.0,0.9962,0.9887907250105402,0.9962
MNIST_USPS,1.0,10.0,0.9962,0.9887907250105402,0.9962
MNIST_USPS,1.0,10.0,0.9962,0.9887907250105402,0.9962
MNIST_USPS,1.0,10.0,0.9926,0.9795446319211853,0.9926
CCV,1.0,1.0,0.282887937398494,0.28705604922176287,0.3212756533293961
CCV,1.0,1.0,0.282887937398494,0.28705604922176287,0.3212756533293961
Caltech_2V,0.1,0.1,0.6621428571428571,0.5395127720952573,0.6621428571428571
Caltech_2V,0.1,0.1,0.67,0.5441733894079993,0.67
Caltech_5V,0.1,0.1,0.8964285714285715,0.830792057023937,0.8964285714285715
Caltech_5V,0.1,0.1,0.8985714285714286,0.8303507007772719,0.8985714285714286
Caltech_4V,0.1,0.1,0.8371428571428572,0.7569376691150217,0.8371428571428572
Caltech_3V,0.1,0.1,0.7292857142857143,0.6422990014084201,0.7421428571428571
Caltech_3V,0.1,0.1,0.7464285714285714,0.6538771169445668,0.7478571428571429
MNIST_USPS,1.0,10.0,0.9968,0.9908189483766673,0.9968
MNIST_USPS,1.0,10.0,0.9948,0.9848195411125544,0.9948
MNIST_USPS,1.0,10.0,0.9948,0.9848195411125544,0.9948
MNIST_USPS,1.0,10.0,0.9968,0.9908189483766673,0.9968
MNIST_USPS,1.0,10.0,0.9936,0.9820276058496528,0.9936
BDGP,1.0,1.0,0.9928,0.976817308345357,0.9928
CCV,1.0,1.0,0.25276834489886313,0.2682201033834383,0.297209508341946
Fashion,0.1,0.1,0.9871,0.9701618127274655,0.9871
Caltech_2V,0.1,0.1,0.44857142857142857,0.40363811235204455,0.45714285714285713
Caltech_2V,0.1,0.1,0.485,0.42573461102138244,0.5028571428571429
Caltech_2V,0.1,0.1,0.67,0.5441733894079993,0.67
Caltech_2V,0.1,0.1,0.485,0.42573461102138244,0.5028571428571429
Caltech_2V,0.1,0.1,0.6385714285714286,0.5262311522180838,0.6385714285714286
Caltech_2V,0.1,0.1,0.4492857142857143,0.3168172421528358,0.46214285714285713
Caltech_3V,0.1,0.1,0.7464285714285714,0.6538771169445668,0.7478571428571429
Caltech_3V,0.1,0.1,0.7035714285714286,0.6195127703351608,0.7128571428571429
Caltech_3V,0.1,0.1,0.7114285714285714,0.5966334376626014,0.7114285714285714
Caltech_3V,0.1,0.1,0.6385714285714286,0.5388308717235528,0.6614285714285715
Caltech_4V,0.1,0.1,0.6657142857142857,0.6308662435044029,0.7014285714285714
Caltech_3V,0.1,0.1,0.7035714285714286,0.6195127703351608,0.7128571428571429
Caltech_4V,0.1,0.1,0.79,0.7032866173689638,0.79
Caltech_5V,0.1,0.1,0.8385714285714285,0.7455813597570666,0.8385714285714285
Caltech_5V,0.1,0.1,0.84,0.7783601234140808,0.84
Caltech_2V,0.1,0.1,0.3585714285714286,0.22399663640927275,0.38785714285714284
Caltech_3V,0.1,0.1,0.475,0.2856414401794693,0.48714285714285716
Caltech_4V,0.1,0.1,0.4135714285714286,0.2953748757411146,0.4514285714285714
Caltech_5V,0.1,0.1,0.5185714285714286,0.4107922316567922,0.5571428571428572
Caltech_5V,0.1,0.1,0.8385714285714285,0.7455813597570666,0.8385714285714285
Caltech_4V,0.1,0.1,0.79,0.7032866173689638,0.79
Caltech_3V,0.1,0.1,0.7035714285714286,0.6195127703351608,0.7128571428571429
Caltech_2V,0.1,0.1,0.485,0.42573461102138244,0.5028571428571429
Caltech_2V,0.1,0.1,0.6385714285714286,0.5262311522180838,0.6385714285714286
Caltech_3V,0.1,0.1,0.7114285714285714,0.5966334376626014,0.7114285714285714
Caltech_4V,0.1,0.1,0.7185714285714285,0.6450474995579113,0.7185714285714285
Caltech_5V,0.1,0.1,0.8364285714285714,0.7690261721238998,0.8364285714285714
Caltech_2V,0.1,0.1,0.4492857142857143,0.3168172421528358,0.46214285714285713
Caltech_3V,0.1,0.1,0.6385714285714286,0.5388308717235528,0.6614285714285715
Caltech_4V,0.1,0.1,0.7635714285714286,0.6936703499629527,0.7635714285714286
Caltech_5V,0.1,0.1,0.74,0.7074842144674155,0.74
Caltech_5V,0.1,0.1,0.84,0.7783601234140808,0.84
